[2026-07-17 15:44:50.722] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":14}
[2026-07-17 15:44:50.733] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":15}
[2026-07-17 15:44:50.745] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":16}
[2026-07-17 15:44:50.755] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":17}
[2026-07-17 15:44:50.767] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":18}
[2026-07-17 15:44:50.778] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":19}
[2026-07-17 15:44:50.792] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":20}
[2026-07-17 15:44:50.803] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":21}
[2026-07-17 15:44:50.813] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":22}
[2026-07-17 15:44:50.820] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":23}
[2026-07-17 15:44:50.833] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":24}
[2026-07-17 15:44:50.870] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":25}
[2026-07-17 15:44:50.877] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":26}
[2026-07-17 15:44:50.883] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":27}
[2026-07-17 15:44:50.889] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":28}
[2026-07-17 15:44:50.896] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":29}
[2026-07-17 15:44:50.903] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":30}
[2026-07-17 15:44:50.920] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":31}
[2026-07-17 15:44:50.935] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":32}
[2026-07-17 15:44:50.945] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":33}
[2026-07-17 15:44:50.950] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":34}
[2026-07-17 15:44:50.956] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":35}
[2026-07-17 15:44:50.967] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":36}
[2026-07-17 15:44:50.971] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":37}
[2026-07-17 15:44:50.981] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":38}
[2026-07-17 15:44:50.984] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":39}
[2026-07-17 15:44:50.993] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":40}
[2026-07-17 15:44:51.000] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":41}
[2026-07-17 15:44:51.006] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":42}
[2026-07-17 15:44:51.012] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":43}
[2026-07-17 15:44:51.021] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":44}
[2026-07-17 15:44:51.029] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":45}
[2026-07-17 15:44:51.036] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":46}
[2026-07-17 15:44:51.042] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":47}
[2026-07-17 15:44:51.050] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":48}
[2026-07-17 15:44:51.065] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":49}
[2026-07-17 15:44:51.072] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":50}
[2026-07-17 15:44:51.078] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":51}
[2026-07-17 15:44:51.084] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":52}
[2026-07-17 15:44:51.090] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":53}
[2026-07-17 15:44:51.099] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":54}
[2026-07-17 15:44:51.103] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":55}
[2026-07-17 15:44:51.111] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":56}
[2026-07-17 15:44:51.122] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":57}
[2026-07-17 15:44:51.128] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":58}
[2026-07-17 15:44:51.135] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":59}
[2026-07-17 15:44:51.142] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":60}
[2026-07-17 15:44:51.148] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":61}
[2026-07-17 15:44:51.154] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":62}
[2026-07-17 15:44:51.887] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":63}
[2026-07-17 15:44:51.965] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":64}
[2026-07-17 15:44:52.048] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":65}
[2026-07-17 15:44:52.085] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":66}
[2026-07-17 15:44:52.143] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":67}
[2026-07-17 15:44:52.165] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":68}
[2026-07-17 15:44:52.193] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":69}
[2026-07-17 15:44:52.211] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":70}
[2026-07-17 15:44:52.242] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":71}
[2026-07-17 15:44:52.260] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":72}
[2026-07-17 15:44:52.275] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":73}
[2026-07-17 15:44:52.291] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":74}
[2026-07-17 15:44:52.301] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":75}
[2026-07-17 15:44:52.317] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":76}
[2026-07-17 15:44:52.329] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":77}
[2026-07-17 15:44:52.349] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":78}
[2026-07-17 15:44:52.353] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":79}
[2026-07-17 15:44:52.360] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":80}
[2026-07-17 15:44:52.368] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":81}
[2026-07-17 15:44:52.373] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":82}
